hour,tech,dispatch,zone,period
105,nuclear,0.0,hl,2021 week 1
106,nuclear,0.0,hl,2021 week 1
107,nuclear,0.0,hl,2021 week 1
108,nuclear,0.0,hl,2021 week 1
109,nuclear,0.0,hl,2021 week 1
110,nuclear,0.0,hl,2021 week 1
111,nuclear,0.0,hl,2021 week 1
112,nuclear,0.0,hl,2021 week 1
113,nuclear,0.0,hl,2021 week 1
114,nuclear,0.0,hl,2021 week 1
115,nuclear,0.0,hl,2021 week 1
116,nuclear,0.0,hl,2021 week 1
117,nuclear,0.0,hl,2021 week 1
118,nuclear,0.0,hl,2021 week 1
119,nuclear,0.0,hl,2021 week 1
120,nuclear,0.0,hl,2021 week 1
121,nuclear,0.0,hl,2021 week 1
122,nuclear,0.0,hl,2021 week 1
123,nuclear,0.0,hl,2021 week 1
124,nuclear,0.0,hl,2021 week 1
125,nuclear,0.0,hl,2021 week 1
126,nuclear,0.0,hl,2021 week 1
127,nuclear,0.0,hl,2021 week 1
128,nuclear,0.0,hl,2021 week 1
129,nuclear,0.0,hl,2021 week 1
130,nuclear,0.0,hl,2021 week 1
131,nuclear,0.0,hl,2021 week 1
132,nuclear,0.0,hl,2021 week 1
133,nuclear,0.0,hl,2021 week 1
134,nuclear,0.0,hl,2021 week 1
135,nuclear,0.0,hl,2021 week 1
136,nuclear,0.0,hl,2021 week 1
137,nuclear,0.0,hl,2021 week 1
138,nuclear,0.0,hl,2021 week 1
139,nuclear,0.0,hl,2021 week 1
140,nuclear,0.0,hl,2021 week 1
141,nuclear,0.0,hl,2021 week 1
142,nuclear,0.0,hl,2021 week 1
143,nuclear,0.0,hl,2021 week 1
144,nuclear,0.0,hl,2021 week 1
145,nuclear,0.0,hl,2021 week 1
146,nuclear,0.0,hl,2021 week 1
147,nuclear,0.0,hl,2021 week 1
148,nuclear,0.0,hl,2021 week 1
149,nuclear,0.0,hl,2021 week 1
150,nuclear,0.0,hl,2021 week 1
151,nuclear,0.0,hl,2021 week 1
152,nuclear,0.0,hl,2021 week 1
153,nuclear,0.0,hl,2021 week 1
154,nuclear,0.0,hl,2021 week 1
155,nuclear,0.0,hl,2021 week 1
156,nuclear,0.0,hl,2021 week 1
157,nuclear,0.0,hl,2021 week 1
158,nuclear,0.0,hl,2021 week 1
159,nuclear,0.0,hl,2021 week 1
160,nuclear,0.0,hl,2021 week 1
161,nuclear,0.0,hl,2021 week 1
162,nuclear,0.0,hl,2021 week 1
163,nuclear,0.0,hl,2021 week 1
164,nuclear,0.0,hl,2021 week 1
165,nuclear,0.0,hl,2021 week 1
166,nuclear,0.0,hl,2021 week 1
167,nuclear,0.0,hl,2021 week 1
168,nuclear,0.0,hl,2021 week 1
1,coal,6477.8175,hl,2021 week 1
2,coal,6477.8175,hl,2021 week 1
3,coal,6477.8175,hl,2021 week 1
4,coal,6477.8175,hl,2021 week 1
5,coal,6477.8175,hl,2021 week 1
6,coal,7197.8175,hl,2021 week 1
7,coal,7463.0675,hl,2021 week 1
8,coal,7337.9425,hl,2021 week 1
9,coal,7310.93282114103,hl,2021 week 1
10,coal,7697.9425,hl,2021 week 1
11,coal,7952.936729149679,hl,2021 week 1
12,coal,7345.4425,hl,2021 week 1
13,coal,7051.59219244437,hl,2021 week 1
14,coal,7337.266652482792,hl,2021 week 1
15,coal,7720.8175,hl,2021 week 1
16,coal,8573.442500000001,hl,2021 week 1
17,coal,9441.4425,hl,2021 week 1
18,coal,9570.403496480138,hl,2021 week 1
19,coal,8716.01979833045,hl,2021 week 1
20,coal,8370.501836330448,hl,2021 week 1
21,coal,8476.4175,hl,2021 week 1
22,coal,7463.467211905288,hl,2021 week 1
23,coal,6618.342211905288,hl,2021 week 1
24,coal,5927.96247014968,hl,2021 week 1
25,coal,6034.319387207597,hl,2021 week 1
26,coal,6242.5684433019,hl,2021 week 1
27,coal,6247.7925,hl,2021 week 1
28,coal,6247.7925,hl,2021 week 1
29,coal,6607.7925,hl,2021 week 1
30,coal,6933.222490337673,hl,2021 week 1
31,coal,7695.2925,hl,2021 week 1
32,coal,7335.2925,hl,2021 week 1
33,coal,6975.2925,hl,2021 week 1
34,coal,7335.2925,hl,2021 week 1
35,coal,6975.2925,hl,2021 week 1
36,coal,6615.2925,hl,2021 week 1
37,coal,6424.122393301899,hl,2021 week 1
38,coal,6615.2925,hl,2021 week 1
39,coal,6615.2925,hl,2021 week 1
40,coal,6637.7925,hl,2021 week 1
41,coal,9066.2925,hl,2021 week 1
42,coal,8679.893886663758,hl,2021 week 1
43,coal,7906.68,hl,2021 week 1
44,coal,7627.065168706931,hl,2021 week 1
45,coal,7842.68,hl,2021 week 1
46,coal,5761.68,hl,2021 week 1
47,coal,5614.055,hl,2021 week 1
48,coal,4894.055,hl,2021 week 1
49,coal,4894.055,hl,2021 week 1
50,coal,4894.055,hl,2021 week 1
51,coal,4894.055,hl,2021 week 1
52,coal,4894.055,hl,2021 week 1
53,coal,5090.730837768249,hl,2021 week 1
54,coal,6374.335718042239,hl,2021 week 1
55,coal,6655.968266798338,hl,2021 week 1
56,coal,6426.554975,hl,2021 week 1
57,coal,6152.055,hl,2021 week 1
58,coal,7164.064643438405,hl,2021 week 1
59,coal,7531.433015852728,hl,2021 week 1
60,coal,7634.58557376825,hl,2021 week 1
61,coal,7200.711348768249,hl,2021 week 1
62,coal,7205.227948768251,hl,2021 week 1
63,coal,7239.93,hl,2021 week 1
64,coal,7490.18,hl,2021 week 1
65,coal,8647.0425,hl,2021 week 1
66,coal,8507.01606197502,hl,2021 week 1
67,coal,7933.5410219327805,hl,2021 week 1
68,coal,8237.66122193278,hl,2021 week 1
69,coal,7553.876946865557,hl,2021 week 1
70,coal,6566.0425,hl,2021 week 1
71,coal,6357.70499804224,hl,2021 week 1
72,coal,5816.0425,hl,2021 week 1
73,coal,5816.0425,hl,2021 week 1
74,coal,5816.0425,hl,2021 week 1
75,coal,5816.0425,hl,2021 week 1
76,coal,5816.0425,hl,2021 week 1
77,coal,5816.0425,hl,2021 week 1
78,coal,6603.351486271528,hl,2021 week 1
79,coal,7956.376854661778,hl,2021 week 1
80,coal,6676.1675,hl,2021 week 1
81,coal,6911.0425,hl,2021 week 1
82,coal,7297.90841827153,hl,2021 week 1
83,coal,7725.9887013450625,hl,2021 week 1
84,coal,7263.922461870283,hl,2021 week 1
85,coal,6918.5425,hl,2021 week 1
86,coal,7403.6675,hl,2021 week 1
87,coal,8036.7925,hl,2021 week 1
88,coal,8628.071057271529,hl,2021 week 1
89,coal,9987.278602158796,hl,2021 week 1
90,coal,9856.5675,hl,2021 week 1
91,coal,8949.179889774518,hl,2021 week 1
92,coal,8982.8675,hl,2021 week 1
93,coal,8566.3675,hl,2021 week 1
