Voll,Demand_segment,Cost_of_demand_curtailment_perMW,Max_demand_curtailment,$/MWh,Time_Index,Load_MW_z1,Load_MW_z2,Load_MW_z3,Load_MW_z4,Load_MW_z5,Load_MW_z6
,,,,,202,12388.8731,9851.3074,9731.5346,29024.7537,2782.502991,2458.784821
,,,,,203,13071.4979,10681.3738,10551.5091,29546.2286,3094.829263,2458.784821
,,,,,204,12887.6264,9769.0334,9650.261,28772.3355,3094.829263,2458.784821
,,,,,205,11855.9206,9599.2738,9482.5653,28272.1935,3094.829263,2346.050655
,,,,,206,12000.5,9812.2685,9692.9704,28929.4637,3094.829263,2346.050655
,,,,,207,11977.4758,9714.853,9596.7393,29007.0923,3094.829263,2346.050655
,,,,,208,12245.7481,9949.914,9828.9424,29182.8144,2782.502991,2458.784821
,,,,,209,13767.2629,10155.491,10032.02,29059.8934,2974.210513,2593.30552
,,,,,210,13305.0158,9969.4696,9848.2603,28251.1725,2974.210513,2593.30552
,,,,,211,12407.5294,9546.1018,9430.0397,27874.3383,2974.210513,2593.30552
,,,,,212,12778.2679,9903.0495,9782.6477,28362.3619,2974.210513,2593.30552
,,,,,213,12254.4685,9649.0981,9531.7839,28571.8479,2974.210513,2593.30552
,,,,,214,11286.5453,9109.9076,8999.1489,30315.1634,2782.502991,2593.30552
,,,,,215,10298.1608,8334.3005,8232.9716,28521.0626,2782.502991,2593.30552
,,,,,216,9351.007,7674.362,7581.0566,26908.2583,2782.502991,2593.30552
,,,,,217,8911.4851,7185.1902,7097.8322,26116.7344,2654.966391,2483.903142
,,,,,218,8823.748,7053.5288,6967.7717,25654.4189,2654.966391,2366.281234
,,,,,219,8823.748,7053.5288,6967.7717,25091.4999,2654.966391,2366.281234
,,,,,220,8823.748,7053.5288,6967.7717,25091.4999,2654.966391,2366.281234
,,,,,221,9169.2583,7053.5288,6967.7717,25091.4999,2654.966391,2366.281234
,,,,,222,10745.8509,8004.163,7906.8479,25861.2198,2654.966391,2366.281234
,,,,,223,11746.5254,8591.8314,8487.3714,26960.554,2654.966391,2483.903142
,,,,,224,11560.7422,8729.397,8623.2646,26643.8833,2654.966391,2483.903142
,,,,,225,11999.4956,9297.553,9184.5128,27903.6881,2654.966391,2483.903142
,,,,,226,12265.3388,9720.206,9602.0272,29243.885,2654.966391,2483.903142
,,,,,227,12958.0207,10542.135,10413.9631,29774.8336,2970.227641,2483.903142
,,,,,228,12771.4402,9639.8063,9522.605,28986.8812,2970.227641,2483.903142
,,,,,229,11724.5345,9473.9137,9358.7294,28477.6532,2970.227641,2366.281234
,,,,,230,11871.244,9682.0564,9564.3415,29146.8639,2970.227641,2366.281234
,,,,,231,11847.8805,9586.86,9470.3025,29225.9028,2970.227641,2366.281234
