Voll,Demand_segment,Cost_of_demand_curtailment_perMW,Max_demand_curtailment,$/MWh,Time_Index,Load_MW_z1,Load_MW_z2,Load_MW_z3,Load_MW_z4,Load_MW_z5,Load_MW_z6
,,,,,139,19160.02249,17371.25761,13617.09659,41964.82431,2975.429086,2691.645685
,,,,,140,19717.67725,17118.07303,14067.19959,42638.84217,2975.429086,2691.645685
,,,,,141,18929.79252,16843.54786,13746.97265,42928.16693,2975.429086,2691.645685
,,,,,142,17473.8689,16664.53581,13067.06577,45520.95086,2819.817206,2691.645685
,,,,,143,15987.16818,15547.4216,12089.0429,42858.0264,2819.817206,2691.645685
,,,,,144,14562.48533,14752.16809,11256.87549,40630.55461,2819.817206,2691.645685
,,,,,145,14053.03417,14106.06181,10534.66297,39140.22971,2761.116528,2505.749326
,,,,,146,13924.25033,13929.08104,10373.62662,38485.55136,2761.116528,2391.931443
,,,,,147,13924.25033,13929.08104,10373.62662,37730.92283,2761.116528,2391.931443
,,,,,148,13924.25033,13929.08104,10373.62662,37730.92283,2761.116528,2391.931443
,,,,,149,14447.58448,13949.53939,10373.62662,37730.92283,2761.116528,2391.931443
,,,,,150,16860.73334,14955.88457,11658.61537,38778.39918,2761.116528,2391.931443
,,,,,151,18392.37602,16381.03096,12465.12732,40335.15064,2761.116528,2505.749326
,,,,,152,18108.0143,16133.6704,12653.92143,39886.71783,2761.116528,2505.749326
,,,,,153,18779.57484,16005.02901,13433.65451,41670.70945,2761.116528,2505.749326
,,,,,154,19186.47722,16211.31815,14013.70056,43568.54315,2761.116528,2505.749326
,,,,,155,20246.70312,17110.23206,15254.44674,44320.41182,3018.44538,2505.749326
,,,,,156,19961.12116,17330.4838,13903.36051,43204.60366,3018.44538,2505.749326
,,,,,157,18358.71651,16410.4259,13675.69077,42483.49322,3018.44538,2391.931443
,,,,,158,18583.27154,15975.15872,13961.34436,43431.15293,3018.44538,2391.931443
,,,,,159,18547.51109,16449.5106,13830.69749,43543.07883,3018.44538,2391.931443
,,,,,160,18964.18119,16417.47986,14145.94486,43796.43693,2761.116528,2505.749326
,,,,,161,21339.43534,16820.91744,14421.6504,43619.20808,2917.857618,2641.898513
,,,,,162,20609.39388,18074.61274,14172.17157,42453.18488,2917.857618,2641.898513
,,,,,163,19215.45351,17770.60991,13604.38014,41909.8609,2917.857618,2641.898513
,,,,,164,19791.26986,17486.14459,14083.09355,42613.49903,2917.857618,2641.898513
,,,,,165,18977.72525,17177.70207,13742.51166,42915.53841,2917.857618,2641.898513
,,,,,166,17474.38512,16976.57323,13019.38708,45580.6203,2761.116528,2641.898513
,,,,,167,15939.26553,15721.44052,11979.19701,42842.31549,2761.116528,2641.898513
,,,,,168,14468.18359,14827.93412,11094.13358,40516.95562,2761.116528,2641.898513
,,,,,169,14093.16762,14445.58842,10678.27744,39797.54262,2701.80286,2499.099331
,,,,,170,13947.05992,14272.72683,10486.97549,39073.57812,2701.80286,2384.006005
,,,,,171,13947.05992,14272.72683,10486.97549,38213.36301,2701.80286,2384.006005
,,,,,172,13947.05992,14272.72683,10486.97549,38213.36301,2701.80286,2384.006005
,,,,,173,14511.60183,14291.98748,10486.97549,38213.36301,2701.80286,2384.006005
,,,,,174,17070.82935,15279.54932,11918.84006,39397.41871,2701.80286,2384.006005
,,,,,175,18695.18909,16678.09548,12809.02775,41118.92483,2701.80286,2499.099331
,,,,,176,18393.61387,16435.35187,13017.40927,40623.03332,2701.80286,2499.099331
,,,,,177,19105.82677,16309.11157,13878.03977,42595.82895,2701.80286,2499.099331
,,,,,178,19537.36089,16511.55034,14518.26569,44694.51483,2701.80286,2499.099331
,,,,,179,20661.76694,17393.6861,15808.73196,45525.95552,2947.900991,2499.099331
,,,,,180,20358.89742,17609.82686,14396.47784,44292.05878,2947.900991,2499.099331
,,,,,181,18659.49209,16706.94176,14145.18733,43494.63153,2947.900991,2384.006005
,,,,,182,18897.64044,16279.7988,14460.47751,44542.58429,2947.900991,2384.006005
,,,,,183,18859.71541,16745.29695,14316.27602,44666.35556,2947.900991,2384.006005
,,,,,184,19301.6082,16713.86405,14664.23035,44946.52715,2701.80286,2499.099331
,,,,,185,21785.3944,17109.77151,14968.54038,44750.54175,2851.455466,2636.603829
,,,,,186,21046.41308,18342.72462,14693.17808,43461.11559,2851.455466,2636.603829
,,,,,187,19568.09124,18041.73805,14066.47821,42860.29036,2851.455466,2636.603829
,,,,,188,20178.76425,17762.58226,14594.8582,43638.39616,2851.455466,2636.603829
,,,,,189,19315.97225,17459.89678,14218.9409,43972.40107,2851.455466,2636.603829
,,,,,190,17721.62829,17262.522,13420.79203,46819.24568,2701.80286,2636.603829
,,,,,191,16093.581,16030.81623,12272.68209,43891.4288,2701.80286,2636.603829
,,,,,192,14533.4479,15153.98705,11295.7932,41319.97065,2701.80286,2636.603829
,,,,,193,14466.25381,14548.47076,11140.40383,40191.43943,2703.75985,2497.947993
,,,,,194,14325.75085,14372.48819,10947.20197,39457.86918,2703.75985,2391.420283
,,,,,195,14325.75085,14372.48819,10947.20197,38583.01566,2703.75985,2391.420283
,,,,,196,14325.75085,14372.48819,10947.20197,38583.01566,2703.75985,2391.420283
,,,,,197,14876.96093,14392.6563,10947.20197,38583.01566,2703.75985,2391.420283
,,,,,198,17388.92812,15394.44973,12387.70394,39786.00657,2703.75985,2391.420283
,,,,,199,18983.29124,16813.1501,13282.72624,41530.35408,2703.75985,2497.947993
,,,,,200,18687.28509,16566.90836,13492.23948,41027.88296,2703.75985,2497.947993
,,,,,201,19386.34579,16438.84883,14357.54407,43026.85415,2703.75985,2497.947993
,,,,,202,19809.9109,16644.20491,15001.24705,45153.38595,2703.75985,2497.947993
,,,,,203,20913.5529,17539.05299,16294.57594,45995.85842,2992.810546,2497.947993
,,,,,204,20616.2764,17758.30851,14878.79777,44745.59001,2992.810546,2497.947993
,,,,,205,18948.25345,16842.41209,14626.1425,43937.58228,2992.810546,2391.420283
,,,,,206,19182.00405,16409.11364,14943.14503,44999.43956,2992.810546,2391.420283
,,,,,207,19144.77927,16881.32001,14798.16037,45124.85306,2992.810546,2391.420283
,,,,,208,19578.51183,16849.43414,15148.00444,45408.74203,2703.75985,2497.947993
