region,Resource,Plant name,Plant name (other),technology,R_ID,Zone,STOR,SOLAR,BIOPOWER,COAL,GEOTHERMAL,WIND,GAS,LHYDRO,SHYDRO,HYDRO,NUCLEAR,NONDISP,RENEW,OTHER,Existing_Cap_MW,num_units,Cap_Size,Existing_Cap_MWh,Var_OM_Cost_per_MWh,Start_Cost_per_MW,Start_Fuel_MMBTU_per_MW,Heat_Rate_MMBTU_per_MWh,Fuel,Min_Power,Eff_Up,Eff_Down,Ramp_Up_Percentage,Ramp_Dn_Percentage,Up_Time,Down_Time,,,
HL,Harbin-3 power station Unit 3,"华电哈尔滨第三发电厂 660MW“上大压小”热电联产机组, 华电哈尔滨第三发电厂",Huadian Harbin-3 power station,cogen_conventional_steam_coal,45,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,600,1,600,0,1.78,117,13.7,10.4424,HL_Coal,0.6425,1,1,0.6,0.6,8,8,,,
HL,Harbin-3 power station Unit 4,"华电哈尔滨第三发电厂 660MW“上大压小”热电联产机组, 华电哈尔滨第三发电厂",Huadian Harbin-3 power station,cogen_conventional_steam_coal,46,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,600,1,600,0,1.78,117,13.7,10.4424,HL_Coal,0.6425,1,1,0.6,0.6,8,8,,,
HL,Harbin-3 power station Unit 5,"华电哈尔滨第三发电厂 660MW“上大压小”热电联产机组, 华电哈尔滨第三发电厂",Huadian Harbin-3 power station,cogen_conventional_steam_coal,47,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,660,1,660,0,1.78,117,13.7,8.272,HL_Coal,0.6425,1,1,0.6,0.6,8,8,,,
HL,Hegang power station Phase II Unit 3,华能鹤岗发电厂,Huaneng Hegang power station,cogen_conventional_steam_coal,48,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,600,1,600,0,1.78,117,13.7,9.2499,HL_Coal,0.6425,1,1,0.6,0.6,8,8,,,
HL,Hegang power station Phase I Unit 1,华能鹤岗发电厂,Huaneng Hegang power station,cogen_conventional_steam_coal,49,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,300,1,300,0,1.78,117,13.7,11.3126,HL_Coal,0.6425,1,1,0.6,0.6,8,8,,,
HL,Hegang power station Phase I Unit 2,华能鹤岗发电厂,Huaneng Hegang power station,cogen_conventional_steam_coal,50,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,300,1,300,0,1.78,117,13.7,11.3126,HL_Coal,0.6425,1,1,0.6,0.6,8,8,,,
HL,Heilongjiang Baoqing power station Phase I Unit 1,神华国能宝清发电厂,"Luneng Baoqing power station, Shenhua Baoqing power station",cogen_conventional_steam_coal,51,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,600,1,600,0,1.78,117,13.7,8.409,HL_Coal,0.6425,1,1,0.6,0.6,8,8,,,
HL,Heilongjiang Baoqing power station Phase I Unit 2,神华国能宝清发电厂,"Luneng Baoqing power station, Shenhua Baoqing power station",cogen_conventional_steam_coal,52,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,600,1,600,0,1.78,117,13.7,8.409,HL_Coal,0.6425,1,1,0.6,0.6,8,8,,,
HL,Heilongjiang Hegang Mining power station Unit 1,龙煤鹤岗矿业热电厂,"龙煤鹤岗矿业热电厂 (Unit 3, Unit 4), 龙煤鹤岗矿业立达矸石电厂 (Unit 1, Unit 2), 龙煤鹤岗矿业煤矸石热电厂 (Unit 5, Unit 6)",cogen_conventional_steam_coal,53,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,50,1,50,0,1.78,117,13.7,12.6179,HL_Coal,0.6425,1,1,0.6,0.6,8,8,,,
HL,Heilongjiang Hegang Mining power station Unit 2,龙煤鹤岗矿业热电厂,"龙煤鹤岗矿业热电厂 (Unit 3, Unit 4), 龙煤鹤岗矿业立达矸石电厂 (Unit 1, Unit 2), 龙煤鹤岗矿业煤矸石热电厂 (Unit 5, Unit 6)",cogen_conventional_steam_coal,54,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,50,1,50,0,1.78,117,13.7,12.6179,HL_Coal,0.6425,1,1,0.6,0.6,8,8,,,
HL,Heilongjiang Hegang Mining power station Unit 3,龙煤鹤岗矿业热电厂,"龙煤鹤岗矿业热电厂 (Unit 3, Unit 4), 龙煤鹤岗矿业立达矸石电厂 (Unit 1, Unit 2), 龙煤鹤岗矿业煤矸石热电厂 (Unit 5, Unit 6)",cogen_conventional_steam_coal,55,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,50,1,50,0,1.78,117,13.7,11.3126,HL_Coal,0.6425,1,1,0.6,0.6,8,8,,,
HL,Heilongjiang Hegang Mining power station Unit 4,龙煤鹤岗矿业热电厂,"龙煤鹤岗矿业热电厂 (Unit 3, Unit 4), 龙煤鹤岗矿业立达矸石电厂 (Unit 1, Unit 2), 龙煤鹤岗矿业煤矸石热电厂 (Unit 5, Unit 6)",cogen_conventional_steam_coal,56,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,50,1,50,0,1.78,117,13.7,11.3126,HL_Coal,0.6425,1,1,0.6,0.6,8,8,,,
HL,Heilongjiang Qiqihar power station Unit 1,华电齐齐哈尔热电厂,,cogen_conventional_steam_coal,57,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,300,1,300,0,1.78,117,13.7,10.4424,HL_Coal,0.6425,1,1,0.6,0.6,8,8,,,
HL,Heilongjiang Qiqihar power station Unit 2,华电齐齐哈尔热电厂,,cogen_conventional_steam_coal,58,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,300,1,300,0,1.78,117,13.7,10.4424,HL_Coal,0.6425,1,1,0.6,0.6,8,8,,,
HL,Huaneng Daqing power station Unit 1,华能大庆热电厂,,cogen_conventional_steam_coal,59,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,350,1,350,0,1.78,117,13.7,10.0908,HL_Coal,0.6425,1,1,0.6,0.6,8,8,,,
HL,Huaneng Daqing power station Unit 2,华能大庆热电厂,,cogen_conventional_steam_coal,60,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,350,1,350,0,1.78,117,13.7,10.0908,HL_Coal,0.6425,1,1,0.6,0.6,8,8,,,
HL,Jiagedaqi Cogen power station Unit 1,加格达奇热电厂,,cogen_conventional_steam_coal,61,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,135,1,135,0,1.78,117,13.7,10.326,HL_Coal,0.6425,1,1,0.6,0.6,8,8,,,
HL,Jiagedaqi Cogen power station Unit 2,加格达奇热电厂,,cogen_conventional_steam_coal,62,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,135,1,135,0,1.78,117,13.7,10.326,HL_Coal,0.6425,1,1,0.6,0.6,8,8,,,
HL,Jiamusi Zhongheng Cogen power station Unit 1,佳木斯中恒热电厂,,cogen_conventional_steam_coal,63,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,75,1,75,0,1.78,117,13.7,11.1865,HL_Coal,0.6425,1,1,0.6,0.6,8,8,,,
HL,Jiamusi Zhongheng Cogen power station Unit 3,佳木斯中恒热电厂,,cogen_conventional_steam_coal,64,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,50,1,50,0,1.78,117,13.7,10.326,HL_Coal,0.6425,1,1,0.6,0.6,8,8,,,
HL,Jiamusi-2 power station Unit 4,佳木斯第二发电厂,"华电佳木斯热电厂 (Unit 4, Unit 5), 大唐佳木斯第二发电厂 (Unit 1, Unit 2, Unit 3)",cogen_conventional_steam_coal,65,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,300,1,300,0,1.78,117,13.7,10.4424,HL_Coal,0.6425,1,1,0.6,0.6,8,8,,,
HL,Jiamusi-2 power station Unit 5,佳木斯第二发电厂,"华电佳木斯热电厂 (Unit 4, Unit 5), 大唐佳木斯第二发电厂 (Unit 1, Unit 2, Unit 3)",cogen_conventional_steam_coal,66,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,300,1,300,0,1.78,117,13.7,10.4424,HL_Coal,0.6425,1,1,0.6,0.6,8,8,,,
HL,Jixi City power station Unit 1,鸡西市燃煤电厂,,cogen_conventional_steam_coal,67,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,660,1,660,0,1.78,117,13.7,8.272,HL_Coal,0.6425,1,1,0.6,0.6,8,8,,,
HL,Jixi City power station Unit 2,鸡西市燃煤电厂,,cogen_conventional_steam_coal,68,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,660,1,660,0,1.78,117,13.7,8.272,HL_Coal,0.6425,1,1,0.6,0.6,8,8,,,
HL,Jixi power station Unit 10,大唐鸡西热电厂,"大唐鸡西第二热电厂 (Unit 11, Unit 12)",cogen_conventional_steam_coal,69,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,125,1,125,0,1.78,117,13.7,12.1828,HL_Coal,0.6425,1,1,0.6,0.6,8,8,,,
HL,Jixi power station Unit 11,大唐鸡西热电厂,"大唐鸡西第二热电厂 (Unit 11, Unit 12)",cogen_conventional_steam_coal,70,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,300,1,300,0,1.78,117,13.7,10.4424,HL_Coal,0.6425,1,1,0.6,0.6,8,8,,,
HL,Jixi power station Unit 12,大唐鸡西热电厂,"大唐鸡西第二热电厂 (Unit 11, Unit 12)",cogen_conventional_steam_coal,71,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,300,1,300,0,1.78,117,13.7,10.4424,HL_Coal,0.6425,1,1,0.6,0.6,8,8,,,
HL,Jixi power station Unit 9,大唐鸡西热电厂,"大唐鸡西第二热电厂 (Unit 11, Unit 12)",cogen_conventional_steam_coal,72,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,125,1,125,0,1.78,117,13.7,12.1828,HL_Coal,0.6425,1,1,0.6,0.6,8,8,,,
HL,Linkou Shengye Cogen power station Unit 1,林口盛烨热电厂,"林口海浪热电厂, Linkou Cogen power station",cogen_conventional_steam_coal,73,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,50,1,50,0,1.78,117,13.7,10.4424,HL_Coal,0.6425,1,1,0.6,0.6,8,8,,,
HL,Mudanjiang Cogen power station Unit 5,牡丹江热电厂,,cogen_conventional_steam_coal,74,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,80,1,80,0,1.78,117,13.7,12.047,HL_Coal,0.6425,1,1,0.6,0.6,8,8,,,
